compute_flops,n_params,n_tokens,hex_color,loss_colorbar_raw,loss_colorbar_cal,colorbar_rgb_dist
1.3974606276586499e+18,72027118,3233644650,#ec4a3e,3.40178,3.40017,0.31
1.7659117031554703e+18,87631869,3358579728,#e83f3f,3.32103,3.31959,0.558
2.0562233837582364e+18,103236674,3319594524,#e63b40,3.30114,3.29974,0.46
2.8677246989525084e+18,113873394,4197241334,#de2e44,3.19387,3.19271,0.367
2.8909644604288947e+18,72027118,6689527832,#e03143,3.22277,3.22155,0.214
3.4104072763917266e+18,136340032,4168997222,#d82748,3.12743,3.12641,0.575
3.5205195841001984e+18,87631869,6695660767,#dd2c45,3.18429,3.18315,0.346
3.934217284713673e+18,158806840,4128933506,#d62449,3.1087,3.10773,0.468
4.74612679797171e+18,103236674,7662210561,#d5224a,3.09008,3.08915,0.641
5.131594695151273e+18,298207689,2868020557,#d2204c,3.07158,3.07069,0.428
5.151585457824589e+18,170688207,5030210309,#cf1e4d,3.04403,3.0432,0.424
5.267202350545996e+18,72027174,12187998072,#d62449,3.1087,3.10773,0.468
5.395291350875483e+18,211455604,4252501278,#d3214b,3.08082,3.07991,0.37
5.398319355249465e+18,191071867,4708803594,#cf1e4d,3.04403,3.0432,0.424
5.402476145559258e+18,136340032,6604169596,#d11f4c,3.05319,3.05234,0.513
5.446454529463119e+18,113873394,7971505802,#d2204c,3.07158,3.07069,0.428
5.485015346907483e+18,539065593,1695840425,#dd2c45,3.18429,3.18315,0.346
5.508109476251301e+18,271586469,3380206127,#d2204c,3.07158,3.07069,0.428
5.597518648430601e+18,414294949,2251825126,#d72549,3.11805,3.11706,0.396
5.616406261770067e+18,170688074,5484083864,#cf1e4d,3.04403,3.0432,0.424
5.770630621708494e+18,72027118,13352912040,#d5224a,3.09008,3.08915,0.641
5.800888101510304e+18,55937728,17283767544,#db2946,3.15573,3.15466,0.686
6.373089436043152e+18,211455768,5023185607,#cd1c4e,3.01673,3.01596,0.754
6.830908879841836e+18,87631937,12991665538,#cf1e4d,3.04403,3.0432,0.424
6.837957485842426e+18,136340032,8358950546,#cb1b4f,3.00768,3.00693,0.315
7.998765559773474e+18,158806840,8394648473,#c51852,2.96286,2.9622,0.235
8.137374077482981e+18,244965624,5536405448,#c71951,2.97177,2.9711,0.584
8.305761398401781e+18,103236754,13408921809,#ca1a50,2.99866,2.99793,0.343
8.704589419546993e+18,103236754,14052794597,#ca1a50,2.99866,2.99793,0.343
8.812720465010891e+18,1750319122,839153687,#ec4a3e,3.40178,3.40017,0.31
8.997271011427293e+18,211455768,7091531148,#c41753,2.94511,2.9445,0.702
9.065517814952052e+18,298207921,5066664992,#c41753,2.94511,2.9445,0.702
9.076236013119573e+18,136340138,11095089291,#c71951,2.97177,2.9711,0.584
9.087212477154737e+18,1688584594,896925993,#eb483e,3.39158,3.38999,0.305
9.161359453484282e+18,271586680,5622121232,#c21753,2.93628,2.93569,0.293
9.220468447647875e+18,539066013,2850754276,#c81951,2.98071,2.98001,0.5
9.228975021404715e+18,2907330557,529063508,#f8d1b8,4.66286,4.65848,0.801
9.293763416830659e+18,796529028,1944637941,#cf1e4d,3.04403,3.0432,0.424
9.29664740372059e+18,271586892,5705139974,#c21753,2.93628,2.93569,0.293
9.311845807472953e+18,572355419,2711556927,#c81951,2.98071,2.98001,0.5
9.3531604250889e+18,170688207,9132793074,#c21753,2.93628,2.93569,0.293
9.38866806961939e+18,616874945,2536621116,#ca1a50,2.99866,2.99793,0.343
9.391205856102343e+18,1234894743,1267477236,#d82748,3.12743,3.12641,0.575
9.396862511407983e+18,414295271,3780259782,#c51852,2.96286,2.9622,0.235
9.56066979403778e+18,1115517929,1428435101,#d5224a,3.09008,3.08915,0.641
9.619422103048294e+18,993260133,1614115943,#d2204c,3.07158,3.07069,0.428
9.62420694063152e+18,2227474958,720113366,#f47d57,3.79017,3.78771,0.565
9.721876368006914e+18,1394570830,1161871949,#dd2c45,3.18429,3.18315,0.346
9.747933973429223e+18,1570062097,1034771597,#e53940,3.28137,3.28002,0.306
9.754564733108361e+18,2574688635,631439766,#f47a54,3.76748,3.76506,0.512
9.773258407036461e+18,1958029201,831895868,#ed503e,3.44289,3.44119,0.528
9.988057892487006e+18,170688074,9752739487,#c21753,2.93628,2.93569,0.293
9.995403065009842e+18,6631127891,251224307,#faebdd,5.01135,5.00621,0.481
1.0199702302466367e+19,298208154,5700549641,#bf1654,2.90995,2.90941,0.651
1.0800510871018338e+19,113873483,15807764030,#c41753,2.94511,2.9445,0.702
1.1155811422699147e+19,72027230,25813874830,#cf1e4d,3.04403,3.0432,0.424
1.1543085401668815e+19,191071867,10068711843,#bc1656,2.89252,2.89202,0.524
1.3733020139171678e+19,136340138,16787695303,#bd1655,2.90122,2.9007,0.551
1.575616275430073e+19,244965433,10719990556,#b51657,2.84087,2.84048,0.674
1.6882492326602908e+19,476679765,5902807146,#b41658,2.83235,2.83198,0.603
1.8299462983563143e+19,271586469,11229979573,#b01759,2.80695,2.80664,0.462
1.91127255002535e+19,170688207,18662415604,#b71657,2.85798,2.85756,0.23
1.939433860666183e+19,539065173,5996287517,#af1759,2.79853,2.79824,0.399
2.0332081749366362e+19,298207689,11363490666,#ab185a,2.77343,2.77319,0.506
2.062731238682003e+19,496872094,6919055109,#ad1759,2.79014,2.78986,0.568
2.2438231235124974e+19,191071867,19572244050,#b01759,2.80695,2.80664,0.462
2.3972387782428713e+19,211455768,18894722016,#ad1759,2.79014,2.78986,0.568
2.404316429370222e+19,572354527,7001244609,#ab185a,2.77343,2.77319,0.506
2.477510977391794e+19,136340244,30285885096,#b41658,2.83235,2.83198,0.603
2.53208286706818e+19,271586469,15538837888,#aa185a,2.76511,2.76489,0.451
2.538658292365118e+19,211455604,20009387688,#ab185a,2.77343,2.77319,0.506
2.6768028126779494e+19,136340032,32722143095,#b41658,2.83235,2.83198,0.603
2.6780445415554687e+19,414294626,10773510666,#a8185a,2.75682,2.75662,0.429
2.7202666574454444e+19,298207689,15203423413,#a6195a,2.74031,2.74015,0.536
2.738309153855871e+19,647836955,7044748769,#a6195a,2.74031,2.74015,0.536
2.7626526520103535e+19,539065173,8541492415,#a6195a,2.74031,2.74015,0.536
2.7846676039012758e+19,616873503,7523605160,#a4195b,2.7321,2.73195,0.583
2.784860276856023e+19,616873984,7524119861,#a4195b,2.7321,2.73195,0.583
2.806181398293451e+19,170688074,27400678315,#af1759,2.79853,2.79824,0.399
2.8240700791048995e+19,796527787,5909126512,#aa185a,2.76511,2.76489,0.451
2.8249158888082952e+19,572354527,8226008398,#a4195b,2.7321,2.73195,0.583
2.8491790698358436e+19,1570058427,3024493676,#b21758,2.82386,2.82351,0.437
2.8712409307369e+19,1115516191,4289853961,#a8185a,2.75682,2.75662,0.429
2.89093476999632e+19,993258586,4850926723,#a6195a,2.74031,2.74015,0.536
2.8929637966332592e+19,1750315031,2754707720,#b41658,2.83235,2.83198,0.603
2.90394956918564e+19,1394567571,3470549617,#af1759,2.79853,2.79824,0.399
2.923855113415941e+19,1234891857,3946168912,#aa185a,2.76511,2.76489,0.451
3.0981257827401716e+19,414294303,12463466029,#a4195b,2.7321,2.73195,0.583
3.2003585473106395e+19,158807087,33587486636,#ad1759,2.79014,2.78986,0.568
3.2755942147311763e+19,706700033,7725093299,#a3195b,2.7239,2.72377,0.489
3.5768593183497437e+19,271586469,21950402106,#a11a5b,2.70759,2.7075,0.333
3.65008626666373e+19,476679393,12762198653,#9f1a5b,2.69947,2.6994,0.299
