source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,9.995403065009842e+18,6631127890.552406,251224307.28691554,#faebdd,5.009,5.005581996196243
chinchilla_fig4_left,9.228975021404715e+18,2907330557.155075,529063508.028684,#f8d1b8,4.65557,4.665232074214
chinchilla_fig4_left,9.754564733108361e+18,2574688635.1748405,631439765.8189036,#f47a54,3.7475,3.7655629197937
chinchilla_fig4_left,9.62420694063152e+18,2227474957.7755265,720113366.2607485,#f47d57,3.77052,3.793872243318985
chinchilla_fig4_left,9.773258407036461e+18,1958029200.929446,831895867.7426983,#ed503e,3.41831,3.446995430227908
chinchilla_fig4_left,9.087212477154737e+18,1688584593.7223415,896925992.6270308,#eb483e,3.36627,3.395737776160633
chinchilla_fig4_left,9.692440486396332e+19,2907330557.155075,5556322942.904209,#931c5b,2.59136,2.628284835801397
chinchilla_fig4_left,9.837070389204361e+19,2574688635.1748405,6367805835.375217,#8c1d5b,2.54377,2.585322489772079
chinchilla_fig4_left,9.694242899619058e+19,1958029200.929446,8251700991.841995,#8b1d5b,2.53592,2.577587469373751
chinchilla_fig4_left,9.81397807447265e+19,1688584593.7223415,9686592063.512957,#891e5b,2.5281,2.566031188935832
chinchilla_fig4_left,8.812720465010891e+18,1750319121.5158966,839153686.9553317,#ec4a3e,3.37661,3.4059279641864757
chinchilla_fig4_left,9.747933973429223e+18,1570062096.501702,1034771596.5235664,#e53940,3.2545,3.2856379825927915
chinchilla_fig4_left,9.721876368006914e+18,1394570830.0943441,1161871948.728152,#dd2c45,3.15604,3.1838780021322792
chinchilla_fig4_left,9.391205856102343e+18,1234894742.9920232,1267477236.338974,#d82748,3.09838,3.131833845205492
chinchilla_fig4_left,9.727469293277802e+19,1750317757.949515,9262574608.808426,#8b1d5b,2.53592,2.577587469373751
chinchilla_fig4_left,9.779938111191858e+19,1234894742.9920232,13199422011.056143,#871e5b,2.51252,2.554520985765487
chinchilla_fig4_left,9.56066979403778e+18,1115517929.283524,1428435100.7216916,#d5224a,3.0605,3.094521210858053
chinchilla_fig4_left,9.619422103048294e+18,993260133.4660611,1614115943.2022014,#d2204c,3.04174,3.07143034313885
chinchilla_fig4_left,9.293763416830659e+18,796529028.3250127,1944637940.8532295,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,9.38866806961939e+18,616874945.1169034,2536621115.8190126,#ca1a50,2.96779,2.998680336233436
chinchilla_fig4_left,9.311845807472953e+18,572355419.0840716,2711556926.863878,#c81951,2.94958,2.9852294397432493
chinchilla_fig4_left,9.220468447647875e+18,539066012.9282103,2850754275.764925,#c81951,2.94958,2.9852294397432493
chinchilla_fig4_left,9.396862511407983e+18,414295271.25471836,3780259782.2518444,#c51852,2.93147,2.962954091342755
chinchilla_fig4_left,9.241155157068179e+19,1115517060.2518559,13806983156.58474,#871e5b,2.51252,2.554520985765487
chinchilla_fig4_left,9.639972111633439e+19,993259359.6779547,16175654454.708612,#861e5b,2.50476,2.546878120316004
chinchilla_fig4_left,9.415919086614351e+19,796528407.7980553,19701994711.115562,#891e5b,2.5281,2.566031188935832
chinchilla_fig4_left,8.926806480617947e+19,616874464.5474336,24118376843.406994,#891e5b,2.5281,2.566031188935832
chinchilla_fig4_left,8.957228233179849e+19,572354973.1970365,26082963232.726414,#8c1d5b,2.54377,2.585322489772079
chinchilla_fig4_left,8.460960332517743e+19,539065592.9749094,26159340788.890953,#8b1d5b,2.53592,2.577587469373751
chinchilla_fig4_left,8.939496210602774e+19,414294948.5026574,35962688912.4598,#8e1d5b,2.55953,2.5969714788717795
chinchilla_fig4_left,5.485015346907483e+18,539065592.9749094,1695840425.3545637,#dd2c45,3.15604,3.1838780021322792
chinchilla_fig4_left,5.597518648430601e+18,414294948.5026574,2251825126.3023777,#d72549,3.08887,3.122463718742479
chinchilla_fig4_left,2.8929637966332592e+19,1750315030.8199468,2754707719.937356,#b41658,2.79912,2.836974331044393
chinchilla_fig4_left,2.8491790698358436e+19,1570058427.0870335,3024493675.607976,#b21758,2.7905,2.8242551231206
chinchilla_fig4_left,2.90394956918564e+19,1394567570.8228397,3470549616.8873534,#af1759,2.76482,2.803174649739657
chinchilla_fig4_left,2.923855113415941e+19,1234891856.901794,3946168912.247328,#aa185a,2.73093,2.7697776574701383
chinchilla_fig4_left,5.862618161850434e+19,1570058427.0870335,6223354558.772151,#981b5b,2.62356,2.6599757580335908
chinchilla_fig4_left,5.813503666708858e+19,1394567570.8228397,6947797281.799097,#981b5b,2.62356,2.6599757580335908
chinchilla_fig4_left,5.857049811508591e+19,1234891856.901794,7904942956.1701,#971c5b,2.60741,2.6480441566036577
chinchilla_fig4_left,5.131594695151273e+18,298207689.09171045,2868020556.848166,#d2204c,3.04174,3.07143034313885
chinchilla_fig4_left,5.508109476251301e+18,271586468.82723224,3380206127.3747554,#d2204c,3.04174,3.07143034313885
