flops_label,compute_flops,hex_color,n_params,loss,n_tokens
6e+18,6.00e+18,#a9e1bd,57335504,3.151469,17441200054
6e+18,6.00e+18,#a9e1bd,73825953,3.09427,13545371957
6e+18,6.00e+18,#a9e1bd,105813105,3.089334,9450625205
6e+18,6.00e+18,#a9e1bd,139740668,3.056802,7156112926
6e+18,6.00e+18,#a9e1bd,174943270,3.039587,5716138728
6e+18,6.00e+18,#a9e1bd,216724758,3.072947,4614147506
6e+18,6.00e+18,#a9e1bd,278350558,3.072016,3592592045
6e+18,6.00e+18,#a9e1bd,305633092,3.06764,3271897010
6e+18,6.00e+18,#a9e1bd,424603486,3.111272,2355138460
6e+18,6.00e+18,#a9e1bd,552470489,3.178902,1810051434
1e+19,1.00e+19,#60ceac,105813105,2.993011,15751042008
1e+19,1.00e+19,#60ceac,139740668,2.965846,11926854877
1e+19,1.00e+19,#60ceac,174942950,2.937419,9526915306
1e+19,1.00e+19,#60ceac,216724361,2.943434,7690259911
1e+19,1.00e+19,#60ceac,278350558,2.940294,5987653408
1e+19,1.00e+19,#60ceac,305633092,2.945656,5453161683
1e+19,1.00e+19,#60ceac,424603486,2.953439,3925230766
1e+19,1.00e+19,#60ceac,552470489,2.98572,3016752390
1e+19,1.00e+19,#60ceac,586585130,2.977653,2841303985
1e+19,1.00e+19,#60ceac,632209313,2.998165,2636257697
1e+19,1.00e+19,#60ceac,816318039,3.03991,2041687904
1e+19,1.00e+19,#60ceac,1017926185,3.060483,1637315839
1e+19,1.00e+19,#60ceac,1143212311,3.093792,1457880265
1e+19,1.00e+19,#60ceac,1265546996,3.133202,1316953596
1e+19,1.00e+19,#60ceac,1429178380,3.173061,1166171200
1e+19,1.00e+19,#60ceac,1609014566,3.276346,1035830689
1e+19,1.00e+19,#60ceac,1730470970,3.388124,963128938
1e+19,1.00e+19,#60ceac,1793730364,3.406051,929162320
1e+19,1.00e+19,#60ceac,2006584178,3.441569,830598928
1e+19,1.00e+19,#60ceac,2282695506,3.782629,730130962
1e+19,1.00e+19,#60ceac,2638495625,3.754527,631673083
1e+19,1.00e+19,#60ceac,2979361690,4.657941,559403939
3e+19,3.00e+19,#3eb4ad,139740924,2.830353,35780499180
3e+19,3.00e+19,#3eb4ad,174943590,2.797466,28580641359
3e+19,3.00e+19,#3eb4ad,216725154,2.769862,23070695329
3e+19,3.00e+19,#3eb4ad,278351067,2.760301,17962927367
3e+19,3.00e+19,#3eb4ad,305633651,2.742095,16359455124
3e+19,3.00e+19,#3eb4ad,424604263,2.757254,11775670758
3e+19,3.00e+19,#3eb4ad,552472510,2.739649,9050224061
3e+19,3.00e+19,#3eb4ad,586587276,2.735202,8523880770
3e+19,3.00e+19,#3eb4ad,632211626,2.729151,7908744158
3e+19,3.00e+19,#3eb4ad,816321026,2.765082,6125041304
3e+19,3.00e+19,#3eb4ad,1017929909,2.747241,4911929548
3e+19,3.00e+19,#3eb4ad,1143216493,2.755297,4373624794
3e+19,3.00e+19,#3eb4ad,1265551626,2.768646,3950846333
